#,NAME,NAME ARABIC,TYPE EN,TYPE AR,SUBTYPE EN,SUBTYPE AR,BLOCK,POINT_X_Longitude,POINT_Y_Latitude
110,YOUNG DEER KINDERGARTEN,روضة الغزلان الصغيرة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1206,50.50535757,26.12606736
111,ZALLAQ KINDERGARTEN,روضة زلاق,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1056,50.4913467599999,26.0487514
112,ZINAT AL HAYAT KINDERGARTEN,روضة زينة الحياة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1211,50.5057450099999,26.09203399
113,ZUHOOR AL BANAFSAJ KINDERGARTEN,روضة زهور البنفسج,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,434,50.5331237999999,26.23150379
114,AL RIFFA LEARNING RESOURCE KNOWLEDGE CENTER,مركز الرفاع لمصادر المعرفة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,914,50.55227405,26.13242726
115,ALHIDD RESOURCE KNOWLEDGE CENTER,مركز الحد لمصادر المعرفة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,102,50.6571122599999,26.24967475
116,ALSANABIS RESOURCE KNOWLEDGE CENTER,مركز السنابس لمصادر المعرفة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,408,50.55043904,26.22631311
117,ARAD RESOURCE KNOWLEDGE CENTER,مركز عراد لمصادر المعرفة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,240,50.63243902,26.2572264299999
118,BAHRAIN STUDENT FUNDS FOUNDATION,مؤسسة تمويل الطالب البحريني ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,207,50.6076896399999,26.25145742
119,HIDD TOWN PUBLIC LIBRARY,مكتبة الحد العامة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,102,50.6562098599999,26.24982043
120,ISA TOWN KNOWLEDGE RESOURCE CENTER,مكتبة مدينة عيسى لمصادر المعرفة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,809,50.5476532699999,26.1697721399999
121,LEARNING RESOURCE CENTRE - MINISTRY OF EDUCATION,مركز مصادر التعلم - وزارة التربية والتعليم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,308,50.58436976,26.22404968
122,MUHARRAQ TEACHERS LEARNING RESOURCE CENTER,مركز مصادر التعلم للمعلمين بالمحرق,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,222,50.60886509,26.26092818
123,NBB PUBLIC LIBRARY,مكتبة بنك البحرين الوطنى العامه,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,225,50.60254926,26.26839366
124,PUBLIC JIDHAFS LIBRARY,مكتبة جدحفص العامة ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,431,50.52788369,26.2178399499999
125,PUBLIC MANAMA LIBRARY,مكتبة المنامة العامة ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,308,50.58484458,26.22315804
126,RAS RUMMAN PUBLIC LIBRARY,مكتبة رأس رمان العامة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,306,50.5872078,26.2354553099999
127,RIFFA PUBLIC LIBRARY,مكتبة الرفاع العامة ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,917,50.5659004899999,26.12472916
128,SHAIKH ISA LIBRARY,مكتبة الشيخ عيسى,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,324,50.5997690499999,26.2194235499999
129,THE BRITISH COUNCIL LIBRARY,مكتبة المركز الثقافي البريطاني,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,356,50.5608247899999,26.21452431
130,ABC PRE-SCHOOL,حضانة أي بي سي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,711,50.5652442499999,26.20200852
131,AHDHAN NURSERY,حضانة أحضان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,439,50.53362948,26.20801764
132,AL KAWTHAR NURSERY,حضانة الكوثر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,505,50.4903497399999,26.2147557
133,AL YAQEEN NURSERY,حضانة اليقين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,925,50.57218102,26.13089125
134,ALQALAM NURSERY,حضانة القلم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,1027,50.48156705,26.1074431099999
135,BRIGHT BEGINNINGS DAY CARE & CHILD DEVELOPMENT CENTER,البدايات المشرقة حضانة ومركز لتنمية الطفل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,327,50.5859935,26.2138474399999
136,DAR AJYAL NURSERY,حضانة دار الأجيال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,208,50.6169938399999,26.25392592
137,DISNEY NURSERY,حضانة ديزني,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,517,50.49350839,26.1972011
138,EVOLUTION CHILDCARE DAY NURSERY & PRESCHOOL,حضانة تطوير رعاية الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,334,50.58361739,26.2118448899999
139,FUTURE BRANCHES NURSERY,حضانة غصون المستقبل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,450,50.5137438699999,26.22138164
140,HAPPY MAMA NURSERY,حضانة الأم السعيدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,111,50.6512644399999,26.2299235099999
