geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-000545,2010,10700052,0,2,2,23.0,28.0,51.0
HND-000546,2010,10700053,2,5,7,116.0,99.0,215.0
HND-000547,2010,10700054,2,0,2,26.0,38.0,64.0
HND-000548,2010,10700055,0,1,1,13.0,18.0,31.0
HND-000549,2010,10700056,1,6,7,123.0,91.0,214.0
HND-000550,2010,10700057,0,2,2,36.0,32.0,68.0
HND-000551,2010,10700058,0,1,1,17.0,10.0,27.0
HND-000552,2010,10700059,1,2,3,48.0,39.0,87.0
HND-000553,2010,10700060,1,0,1,19.0,24.0,43.0
HND-000554,2010,10700062,0,2,2,26.0,21.0,47.0
HND-000555,2010,10700063,0,8,8,93.0,132.0,225.0
HND-000556,2010,10700064,0,1,1,12.0,19.0,31.0
HND-000557,2010,10700065,0,8,8,70.0,58.0,128.0
HND-000558,2010,10700066,0,2,2,19.0,29.0,48.0
HND-000559,2010,10700067,0,1,1,17.0,7.0,24.0
HND-000560,2010,10700068,0,1,1,4.0,11.0,15.0
HND-000561,2010,10700070,0,6,6,90.0,72.0,162.0
HND-000562,2010,10700071,1,0,1,7.0,8.0,15.0
HND-000564,2010,10700073,1,0,1,17.0,29.0,46.0
HND-000565,2010,10700074,0,1,1,26.0,21.0,47.0
HND-000566,2010,10700075,0,2,2,27.0,26.0,53.0
HND-000567,2010,10700076,0,1,1,9.0,17.0,26.0
HND-000568,2010,10700077,0,1,1,16.0,11.0,27.0
HND-000569,2010,10700078,1,0,1,18.0,15.0,33.0
HND-000570,2010,10700079,1,1,2,19.0,24.0,43.0
HND-000571,2010,10700080,1,1,2,41.0,19.0,60.0
HND-000572,2010,10700081,0,2,2,53.0,75.0,128.0
HND-000573,2010,10700082,2,0,2,32.0,28.0,60.0
HND-000574,2010,10700083,0,1,1,18.0,11.0,29.0
HND-000575,2010,10700084,0,1,1,13.0,17.0,30.0
HND-000576,2010,10700085,1,0,1,19.0,8.0,27.0
HND-000577,2010,10700086,1,4,5,88.0,73.0,161.0
HND-000578,2010,10700087,1,1,2,33.0,27.0,60.0
HND-000579,2010,10700088,0,1,1,7.0,10.0,17.0
HND-000580,2010,10700089,1,0,1,14.0,15.0,29.0
HND-000581,2010,10700090,1,2,3,60.0,48.0,108.0
HND-000582,2010,10700091,1,0,1,16.0,9.0,25.0
HND-000583,2010,10700092,0,1,1,15.0,11.0,26.0
HND-000584,2010,10700093,0,1,1,18.0,16.0,34.0
HND-000585,2010,10700094,0,1,1,21.0,13.0,34.0
HND-000586,2010,10700095,0,1,1,7.0,21.0,28.0
HND-000587,2010,10700096,0,3,3,51.0,41.0,92.0
HND-000589,2010,10700098,0,2,2,30.0,36.0,66.0
HND-000590,2010,10700099,1,1,2,21.0,22.0,43.0
HND-000591,2010,10700100,0,1,1,13.0,18.0,31.0
HND-000592,2010,10700102,1,0,1,5.0,7.0,12.0
HND-000593,2010,10700103,0,1,1,8.0,4.0,12.0
HND-000594,2010,10700104,0,1,1,10.0,13.0,23.0
HND-000595,2010,10700105,0,1,1,13.0,19.0,32.0
HND-000596,2010,10700106,2,1,3,58.0,49.0,107.0
HND-000597,2010,10700107,1,2,3,54.0,44.0,98.0
HND-000598,2010,10700108,0,1,1,5.0,11.0,16.0
HND-000599,2010,10700109,5,7,12,161.0,174.0,335.0
HND-000600,2010,10700110,4,17,21,299.0,317.0,616.0
HND-000601,2010,10700111,0,1,1,127.0,98.0,225.0
HND-000602,2010,10700114,1,0,1,3.0,6.0,9.0
HND-000603,2010,10700115,2,0,2,25.0,26.0,51.0
HND-000604,2010,10700116,1,0,1,21.0,14.0,35.0
HND-000605,2010,10700117,0,1,1,18.0,15.0,33.0
HND-000606,2010,10700118,1,1,2,32.0,20.0,52.0
HND-000607,2010,10700119,0,2,2,6.0,9.0,15.0
HND-000608,2010,10700121,1,1,2,28.0,30.0,58.0
HND-000609,2010,10700124,0,1,1,28.0,22.0,50.0
HND-000610,2010,10700125,0,1,1,21.0,21.0,42.0
HND-000611,2010,10700126,3,4,7,92.0,97.0,189.0
HND-000612,2010,10700127,3,6,9,107.0,106.0,213.0
HND-000614,2010,10700132,0,1,1,17.0,15.0,32.0
HND-000622,2010,10700149,1,1,2,37.0,34.0,71.0
HND-000625,2010,10700159,1,5,6,73.0,43.0,116.0
HND-000626,2010,10700161,1,0,1,9.0,11.0,20.0
HND-000630,2010,10700167,0,2,2,24.0,20.0,44.0
HND-000633,2010,10700172,1,1,2,27.0,28.0,55.0
HND-000635,2010,10700183,2,1,3,42.0,44.0,86.0
HND-000636,2010,10700190,4,3,7,134.0,146.0,280.0
HND-000637,2010,10700194,0,1,1,9.0,7.0,16.0
HND-000638,2010,10700195,1,4,5,81.0,75.0,156.0
HND-000639,2010,10700199,0,1,1,17.0,9.0,26.0
HND-000640,2010,10700200,1,0,1,11.0,10.0,21.0
HND-000642,2010,10700213,3,0,3,11.0,10.0,21.0
HND-000643,2010,10700214,0,1,1,11.0,14.0,25.0
HND-000644,2010,10700215,1,0,1,16.0,11.0,27.0
HND-000645,2010,10700217,0,1,1,8.0,15.0,23.0
HND-000646,2010,10700218,0,1,1,14.0,13.0,27.0
HND-000647,2010,10700219,0,2,2,21.0,22.0,43.0
HND-000648,2010,10700220,0,5,5,71.0,63.0,134.0
HND-000656,2010,10800001,1,0,1,7.0,7.0,14.0
HND-000657,2010,10800002,0,2,2,24.0,28.0,52.0
HND-000658,2010,10800003,0,1,1,19.0,12.0,31.0
HND-000659,2010,10800004,0,2,2,33.0,28.0,61.0
HND-000660,2010,10800005,0,2,2,31.0,30.0,61.0
HND-000661,2010,10800006,1,1,2,51.0,30.0,81.0
HND-000662,2010,10800007,1,14,15,185.0,196.0,381.0
HND-000663,2010,10800008,0,2,2,29.0,24.0,53.0
HND-000664,2010,10800009,0,1,1,29.0,13.0,42.0
HND-000665,2010,10800010,1,0,1,13.0,10.0,23.0
HND-000666,2010,10800011,1,0,1,13.0,9.0,22.0
HND-000667,2010,10800012,0,1,1,21.0,7.0,28.0
HND-000668,2010,10800013,0,2,2,25.0,31.0,56.0
HND-000669,2010,10800014,3,16,19,237.0,250.0,487.0
HND-000670,2010,10800015,0,1,1,18.0,10.0,28.0
HND-000671,2010,10800016,5,12,17,197.0,167.0,364.0
HND-000672,2010,10800017,3,12,15,153.0,160.0,313.0
HND-000673,2010,10800018,1,6,7,85.0,85.0,170.0
