SEMEL_MOSAD,SHEM_MOSAD,ITM_X,ITM_Y,UTM_X,UTM_Y,RAMAT_DIYUK_MIKUM
48330,מגן הלב,167608,633672,34.6562706793738,31.7942197426202,גבוהה מאוד
48355,"321",185068,665923,34.8394811311852,32.0857211271052,גבוהה מאוד
48363,"327",185293,665921,34.8418644835535,32.0857099357626,גבוהה מאוד
48389,"369",184354,666432,34.8318995645696,32.0902891853725,גבוהה מאוד
48397,עירוני,185138,664390,34.8402774201869,32.0718988977619,גבוהה מאוד
48405,"325",184654,664978,34.8351301716164,32.077186556936,גבוהה מאוד
48413,"314",184634,664953,34.8349192513163,32.0769604930833,גבוהה מאוד
48421,"315",184634,664953,34.8349192513163,32.0769604930833,גבוהה מאוד
48645,עופרים,199488,744308,34.990561238306,32.7929022622237,גבוהה מאוד
48934,בית הילדים מ.ת.מ.,221401,634260,35.2242789658544,31.8007014051563,גבוהה מאוד
49015,מעיין בית שאן_4,247125,711028,35.4981314008176,32.4926492623749,גבוהה מאוד
49676,מעון ויצו,180445,667968,34.7904296557382,32.1040119220536,גבוהה מאוד
49833,"אגוי, יהוד",188258,659670,34.8734739572454,32.0294249756485,בינונית
50013,ויצו,181494,670543,34.8014411675526,32.1272684910816,גבוהה מאוד
50047,בני ציון,176050,657717,34.7443304026256,32.0114099670464,גבוהה מאוד
91421,הנזריאן,228710,733968,35.3024214923702,32.6998102362388,נמוכה
91751,"אל ברעם,מונה בדר",232754,769067,35.3460503045199,33.0162528875715,נמוכה
92429,אל חנאסי,203469,703298,35.0337636877504,32.423170866336,נמוכה
93039,אלסנדיאה,207989,759822,35.0811206155545,32.9329123946629,נמוכה
100180,מיתר,210651,746733,35.1097093965548,32.8149153210651,גבוהה מאוד
100271,גן קשת,211446,746039,35.1182046288066,32.8086636833607,גבוהה מאוד
100297,הדרים,209762,746127,35.1002228473716,32.8094434915037,גבוהה
100339,גן צליל,209067,745732,35.0928064010098,32.8058753872981,גבוהה מאוד
100354,ברוש,209067,745732,35.0928064010098,32.8058753872981,גבוהה מאוד
100362,אילן,210537,745923,35.1084999342855,32.8076106479449,גבוהה מאוד
100370,נוריות,211314,746379,35.1167921908701,32.8117284748281,גבוהה מאוד
100388,סנונית,210965,745947,35.1130696153871,32.8078304761506,גבוהה
100396,אגוז,211740,746122,35.1213431082655,32.8094142168666,גבוהה
100412,ערבה,210344,746167,35.1064367909268,32.8098091921966,גבוהה מאוד
100420,תמר,209234,745248,35.0945948528397,32.8015127485996,גבוהה מאוד
100438,מרגניות,210672,745783,35.1099427123465,32.8063493682666,גבוהה מאוד
100453,דליה,211177,746600,35.1153273366809,32.8137201915899,גבוהה
100461,אורן,209752,746120,35.1001161455839,32.8093802837327,גבוהה מאוד
100479,ארז,210203,745135,35.1049416242951,32.8005024830713,גבוהה מאוד
100487,ארזים,210370,746389,35.1067122160469,32.8118111766494,גבוהה מאוד
100495,הדס,210151,744952,35.1043882963673,32.7988519321052,גבוהה מאוד
100511,תאנה,210537,745923,35.1084999342855,32.8076106479449,גבוהה מאוד
100529,כלניות,210290,745260,35.1058692342813,32.8016303411364,גבוהה מאוד
100537,דפנה,211197,746011,35.1155461902808,32.8084093471806,גבוהה מאוד
100545,מעיין,210672,745783,35.1099427123465,32.8063493682666,גבוהה מאוד
100552,איילת,210275,745144,35.1057102418937,32.8005842447873,גבוהה מאוד
100560,ורד,212224,745913,35.1265126945365,32.8075329946047,גבוהה
100578,חצב,199424,670770,34.9914449744818,32.1297779014462,גבוהה
100586,גן מרום,210651,746733,35.1097093965548,32.8149153210651,גבוהה מאוד
100594,אביבים,210370,746389,35.1067122160469,32.8118111766494,גבוהה מאוד
100602,דגנית,211071,745553,35.114205009274,32.8042786080111,גבוהה מאוד
100610,צבר,209938,745342,35.1021102144686,32.8023667167899,גבוהה מאוד
100628,ענבל,209026,744819,35.0923789744716,32.7976424944163,גבוהה מאוד
100644,סיגליות,210203,745057,35.1049424082957,32.7997991582627,גבוהה מאוד
100651,גן לוטם,210505,746445,35.1081531800025,32.8123172445771,גבוהה מאוד
100677,נירים,210775,746597,35.1110347793802,32.8136900093328,גבוהה מאוד
100685,גן זמיר,211229,746299,35.1158852908043,32.8110064779363,גבוהה מאוד
100719,גפן,211340,746617,35.1170677127371,32.8138747077945,גבוהה מאוד
100727,רקפת,210505,746445,35.1081531800025,32.8123172445771,גבוהה מאוד
100735,רימון,209026,744819,35.0923789744716,32.7976424944163,גבוהה מאוד
100743,שלהבת,209762,746127,35.1002228473716,32.8094434915037,גבוהה
100768,שקד,209059,745845,35.0927197084716,32.8068942289244,גבוהה מאוד
100776,שיזף,211071,745553,35.114205009274,32.8042786080111,גבוהה מאוד
100792,גן תפארת,211204,745914,35.1156218030277,32.8075347535716,גבוהה
100818,יערה,209059,745845,35.0927197084716,32.8068942289244,גבוהה מאוד
100826,יסמין,210560,746014,35.1087446331508,32.8084313806828,גבוהה מאוד
100859,חרצית,210775,746597,35.1110347793802,32.8136900093328,גבוהה מאוד
100875,ברוש,197791,709135,34.9732621813497,32.4757093236003,גבוהה
100883,ערבה,199700,709029,34.9935722024632,32.4747891472317,גבוהה
100891,ורד,198123,707695,34.9768266495086,32.4627307020125,בינונית
100917,גן רקפת,196648,708280,34.9611237988688,32.4679765318343,בינונית
100925,יסמין,196648,708280,34.9611237988688,32.4679765318343,בינונית
100933,אפרסק,197072,708117,34.9656377655096,32.466515334173,גבוהה מאוד
100941,אלון,197632,709884,34.9715533565247,32.4824602266506,גבוהה
100958,אורן,197632,708537,34.9715846390142,32.4703138033073,גבוהה
100966,הדס,198355,708156,34.9792839451836,32.4668921665677,גבוהה
100974,גן תמר,198225,708237,34.9778993215591,32.467620095122,גבוהה
100982,איריס,196648,708280,34.9611237988688,32.4679765318343,בינונית
100990,זית,195741,707980,34.9514836156388,32.4652522938072,גבוהה
101006,רימון,199671,708928,34.9932658327168,32.4738778719541,בינונית
101014,לילך,199695,708049,34.9935396224023,32.4659519949856,גבוהה
101022,רותם,199310,708614,34.9894323518724,32.4710399036626,גבוהה
101030,תדהר,199310,708614,34.9894323518724,32.4710399036626,גבוהה
101048,שושנים,200144,708930,34.9982974298965,32.4739042497992,גבוהה
101055,כלנית,199524,708906,34.9917025560372,32.4736768552084,גבוהה
101063,חרוב,199700,709029,34.9935722024632,32.4747891472317,גבוהה
101071,שקד,196368,708765,34.9581335311429,32.4723441725506,גבוהה מאוד
101089,אלומות,195836,708731,34.9524752345611,32.4720263786496,גבוהה
101097,דקל,195741,707980,34.9514836156388,32.4652522938072,גבוהה
101105,פרחים,195683,708790,34.9508462110817,32.4725551351955,גבוהה
101113,ארז,197935,708097,34.9748178072302,32.4663520682157,גבוהה מאוד
101121,עינב,196402,709074,34.9584876280462,32.4751312516669,גבוהה
101139,אשל,195764,708594,34.9517127895196,32.4707894614551,גבוהה
101147,תאנה,195764,708594,34.9517127895196,32.4707894614551,גבוהה
101188,תפוז,197935,708097,34.9748178072302,32.4663520682157,גבוהה מאוד
101196,סביון,199700,709029,34.9935722024632,32.4747891472317,גבוהה
101204,הדר,196356,709315,34.9579923647365,32.4773034830571,גבוהה
