nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
CALDAS,RISARALDA,INSTITUCION EDUCATIVA QUIEBRA DE SANTA BARBARA,VDA. QUIEBRA DE SANTA BARBARA
TOLIMA,IBAGUÉ,COLEGIO AMBIENTALISTA LUPA Y PINCEL,KR 7 CL 134 MZ 51 CS 14
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST ORESTES SINDICI                                                                                ,CL 63 A SUR 70 G 84
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL DEL BOSQUE                                                                                      ,KR 65 170 25
BOLÍVAR,CARTAGENA,JARDIN INFANTIL MIS TRAZOS MAGICOS,IND MZ 61 LOTE 12  PRIMERA ETAPA
RISARALDA,PEREIRA,CE TREINTA DE AGOSTO,GALICIA ALTA ENTRADA COMFAMILIAR
NARIÑO,IPIALES,CENTRO EDUCATIVO CUTUAQUER BAJO,KM. 9 VIA LA VICTORIA
CHOCÓ,QUIBDÓ,IE NORMAL SUPERIOR DE QUIBDO,IND TRANSV 8 # 12 100
NARIÑO,GUAITARILLA,CENTRO EDUCATIVO EL CABUYO,VEREDA EL CABUYO
CESAR,VALLEDUPAR,IE FRANCISCO MOLINA SANCHEZ,CL 30 KR 4 ESQ
NORTE DE SANTANDER,CHITAGÁ,CENT EDUC RUR PRESIDENTE,VDA PRESIDENTE
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA NUEVO AMANECER EN CRISTO ,KR 10 1 S 60
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST SANTA INES                                                                                     ,KR 46 A 71 85
CÓRDOBA,TIERRALTA,ESC RUR  MIX DOZA TUNA,COMUNIDAD INDIG DOZA RIO VERDE
VALLE DEL CAUCA,CARTAGO,INSTITUCIÓN EDUCATIVA DIOCESANA PAULO VI,IND KM 2 VIA AEROPUERTO
ANTIOQUIA,SABANETA,I. E. PRESBITERO ANTONIO BAENA SALAZAR,CL 82 S 32-68
SANTANDER,PIEDECUESTA,CORPORACION TECNICA CEDEFOC                                                                         ,CL 5 8 45
NORTE DE SANTANDER,EL TARRA,CENT EDUC RUR DOMINGO SAVIO,VDA VEGAS DEL CATATUMBO
NARIÑO,EL CHARCO,CENTRO EDUCATIVO ESTERO MARTINEZ,VEREDA  ESTERO MARTINEZ
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENTRO DE EDUCACION LABORAL,AC 72 77 A 73
ANTIOQUIA,SAN LUIS,C. E. R. SALAMBRINA,VDA. SALAMBRINA
ANTIOQUIA,MEDELLÍN,PREESC LUCECITAS DEL CORTIJO,KR 85 66 35
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL AMIGUITOS POR SIEMPRE,CL 45 H 1 J 08
CUNDINAMARCA,MADRID,COLEGIO INFANTES DEL SOCIEGO                                    ,CRA 21 NO 2 52
CUNDINAMARCA,TOCANCIPÁ,COL GABRIEL GARCIA MARQUEZ                                  ,VEREDA VERGANZO
TOLIMA,LÉRIDA,INSTITUCION EDUCATIVA TECNICA MINUTO DE DIOS FE Y ALEGRIA,BARRIO  MINUTO DE DIOS SEGUND
ANTIOQUIA,MEDELLÍN,LA CASA CENTRO INFANTIL Y DESARROLLO HUMANO,KR 42 16 A 163 SUR
ANTIOQUIA,ENVIGADO,INSTITUCION EDUCATIVA MARIA POUSSEPIN,KR 44 38 S 15
ANTIOQUIA,APARTADÓ,I.E.R. EL MARIANO,CORREG. SAN JOSE
SANTANDER,TONA,COLEGIO ADVENTISTA LOS ANDES                                                                        ,KM 53 VIA BUCARAMANGA PAMPLONA
SANTANDER,SOCORRO,CENTRO EDUCATIVO  LUCHADERO,VEREDA LUCHADERO
CASANARE,VILLANUEVA,INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS,CL 11 5 36
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO,KR 11 A 28 25
NARIÑO,GUALMATÁN,CENTRO EDUCATIVO LOMA DEL MEDIO,VEREDA LOMA DEL MEDIO
LA GUAJIRA,MAICAO,INSTITUTO COLOMBIA MIA,CL 19 20 35
RISARALDA,BALBOA,TRES ESQUINAS,VDA TRES ESQUINAS
TOLIMA,ORTEGA,PRE ESCOLAR EL CARMELO,KR 6 A 6 164
NORTE DE SANTANDER,TEORAMA,CENT EDUC RUR EL FARACHE,VDA FARACHE
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC ADOLFO LEON GOMEZ                                                                               ,KR 3 ESTE 101 A 08 SUR
CHOCÓ,MEDIO BAUDÓ,CE INDÍGENA CAIMITAL,VDA CAIMITAL
PUTUMAYO,PUERTO ASÍS,PREESCOLAR DESPERTAR INFANTIL,CR 36 NO 10 - 65
ANTIOQUIA,MEDELLÍN,INSTITUCION EDUCATIVA LA ASUNCION,KR 47 99 77
BOLÍVAR,PINILLOS,I.E. DE ARMENIA,C/GTO ARMENIA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CENTRO CULTURAL                                                                                 ,CL 72 SUR 2 A 32
HUILA,NEIVA,PROMOCION SOCIAL,CL 48 1 B 55
META,VILLAVICENCIO,COLEGIO BILINGÜE DEL LLANO,CL 64 44 03
VALLE DEL CAUCA,CALI,JARDÍN INFANTIL Y GUARDERÍA SANTA ISABEL,CL 29 32 A 25
ANTIOQUIA,MEDELLÍN,CIBERCOLEGIO UCN,CL 52 47 42
NARIÑO,BELÉN,CENTRO EDUCATIVO CAMPO DE MARIA,VEREDA CAMPO DE MARIA
NORTE DE SANTANDER,CACHIRÁ,INST TECNICO AGRICOLA,KM 1 VIA BUCARAMANGA
VALLE DEL CAUCA,CALI,JARDÍN INFANTIL MORISOT,CL 3 A 43 41
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PEDAGOGICO  LOS SAUCES                                                                          ,CLL. 134 NO.105A-04
SANTANDER,BUCARAMANGA,IE MEDALLA MILAGROSA,KR 7 B 103 12
CESAR,LA PAZ,C.E. DIVINO NIÑO,KR 3 6 54
META,VILLAVICENCIO,COLEGIO INFANTIL DE LA ESPERANZA,KR 23 23 C 19
VALLE DEL CAUCA,PALMIRA,IE FRANCISCO MIRANDA,VDA BUITRERA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC SANTA PAULA,CR. 92A NO.76-42/32
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO EL MAIZAL,VDA. EL MAIZAL
VALLE DEL CAUCA,BUENAVENTURA,INSTITUCION EDUCATIVA EL TRIUNFADOR,KR 94 4 17
CUNDINAMARCA,CHÍA,GIMNASIO CAMPESTRE LA CUMBRE,VDA LA BALSA  EL RINCONCITO
BOLÍVAR,CARTAGENA,CORPORACION EDUCATIVA COLEGIO ALTER ALTERIS,MZ Q LT 1
ATLÁNTICO,PUERTO COLOMBIA,INSTITUCION EDUCATIVA ASPAEN GIMNASIO ALTAMAR BILINGUE,IND KM 11 VIA AUTOPISTA PUERTO
ANTIOQUIA,BELLO,IE LA UNION,KM 27 VIA SAN PEDRO
VALLE DEL CAUCA,CALIMA,INSTITUTO PARA EL DESARROLLO HUMANO INTEGRAL,CL 10 9 43
VALLE DEL CAUCA,BUENAVENTURA,CENTRO DOCENTE LUZ DEL SABER,CL 4 40 36
NARIÑO,LINARES,CENTRO EDUCATIVO EL GRAMAL,VEREDA EL GRAMAL
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ,KR 7 65 42
CÓRDOBA,CERETÉ,COLEGIO DIVINO NIÑO,CORREG RETIRO DE LOS INDIOS
ANTIOQUIA,SAN RAFAEL,C. E. R.  EL TOPACIO,VDA. EL TOPACIO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL ADOLFO LEON GOMEZ,CR. 78A NO. 64D-74 SUR
ANTIOQUIA,LA CEJA,I. E. MARIA JOSEFA MARULANDA,CL 14 21 45
NARIÑO,PROVIDENCIA,CENTRO EDUCATIVO VILLA MARIA,VDA VILLA MARIA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA,DG 45 B SUR 8 30 ESTE
BOYACÁ,VILLA DE LEYVA,GIMNASIO CAMPESTRE SANTO DOMINGO ,CL 6 3 100
NORTE DE SANTANDER,CÚCUTA,COL JORGE ISAACS,AV 17 NO 9-07 BARRIO CUNDINAMARCA
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO RAICES,IND KR  1A
RISARALDA,PEREIRA,CE LA CARBONERA,VDA LA CARBONERA
BOYACÁ,VILLA DE LEYVA,IE LUIS CARLOS GALAN,VDA CAPILLA 1
ANTIOQUIA,BELLO,COL DE EDUCACION INTEGRAL ABC,CRA 46 NO 53-64
CAUCA,POPAYÁN,CENT EDUC LA VICTORIA,KR 4B #25AN-09
TOLIMA,CHAPARRAL,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO,AV DEL ESTUDIANTE SALIDA A RIOBLANCO
ANTIOQUIA,SALGAR,C. E. R. PEÑALISA,CORREG. PEÑALISA
NARIÑO,EL CHARCO,CENTRO EDUCATIVO VILLA,VEREDA  VILLA
NARIÑO,MAGÜI,CENTRO EDUCATIVO GUAÑAMBI (MARIA AUXILIADORA),GUAÑAMBI (MARIA AUXILIADORA)
NORTE DE SANTANDER,CÚCUTA,COL BAS CAMILO DAZA,CL 43 8 80
VALLE DEL CAUCA,JAMUNDÍ,COLEGIO CRISTIANO HUELLAS,CL 10 8 49
META,PUERTO GAITÁN,IE KUWEI,RGDO WACOYO
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO Y PEDAGOGICO DEL ATLANTICO,CLL 47A NO. 5B - 27
VALLE DEL CAUCA,JAMUNDÍ,I.E. SAN ANTONIO,CORREG SAN ANTONIO
META,EL CASTILLO,IE EL ENCANTO,VDA EL ENCANTO
CUNDINAMARCA,SIBATÉ,INSTITUCION EDUCATIVA DEPARTAMENTAL PABLO NERUDA,CARRERA 13  NO. 2-38
VALLE DEL CAUCA,CALI,COLEGIO AURA MARIA,CL 52 11 D 38
ANTIOQUIA,BARBOSA,C. E. R. PLATANITO,VDA. PLATANITO
PUTUMAYO,MOCOA,I.E.R. SIMON BOLIVAR,VDA PEPINO
NARIÑO,ARBOLEDA,CENTRO EDUCATIVO LAS PALMAS,VEREDA LAS PALMAS
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,COLEGIO LUIS AMIGO,IND AV. NEWBALL
SANTANDER,SAN VICENTE DE CHUCURÍ,INSTITUTO COLOMBO VENEZOLANO,SAN VICNETE
VALLE DEL CAUCA,GUACARÍ,LIC MIS PRIMERAS HUELLAS,KR 6 4 60
CALDAS,LA DORADA,INSTITUCION EDUCATIVA EL JAPON,VDA. EL JAPON
NARIÑO,LA LLANADA,CENTRO EDUCATIVO LA PALMA,LA PALMA
CUNDINAMARCA,GIRARDOT,COLEGIO INFANTIL ARCO IRIS,MZ 4 CS 21
PUTUMAYO,VILLAGARZÓN,IE LUIS CARLOS GALAN,IND BARRIO OBRERO
NARIÑO,POLICARPA,CENTRO EDUCATIVO EL EDEN,VEREDA EL EDEN
VALLE DEL CAUCA,YUMBO,IE ALBERTO MENDOZA MAYOR,CL 13 KR 7
NARIÑO,LA UNIÓN,CENTRO EDUCATIVO LLANO GRANDE,VDA LLANO GRANDE
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO SAN JOSE BAJO,CORREGIMIENTO EL CARMEN
SANTANDER,HATO,INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR ,CENTRO
VALLE DEL CAUCA,CALI,LICEO SANTA ISABEL DEL SUR,KR 73A # 2-01
VALLE DEL CAUCA,BUENAVENTURA,C.E. PUERTA DEL CIELO,KR 47 7 02
CAUCA,LÓPEZ,INSTITUCION EDUCATIVA AGUA CLARA GOLONDRO,CORREGIMIENTO AGUA CLARA GOLONDRO
ANTIOQUIA,MEDELLÍN,CENT EDUC J.S. FUTUROS BRILLANTES,CLL 5 SUR NO 50FF-22
ATLÁNTICO,SOLEDAD,COLEGIO MIXTO MIGUEL DE CERVANTES SAAVEDRA,CL 54 9 E 10
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA JUAN JOSE NIETO,CL 25 71 24 EN PPAL BR EL SOCORRO
ANTIOQUIA,BELLO,IE DIVINA EUCARISTIA,KR 53 51 28
ATLÁNTICO,BARRANQUILLA,INSTITUCIÓN EDUCATIVA FENIX,CL 76 8 100
NARIÑO,BARBACOAS,CENTRO EDUCATIVO COSCORRON TELEMBI,BAJO TELEMBI
ANTIOQUIA,BELLO,COL DISCALIO HNA JOSEFINA SERRANO,KM 7 VIA MPIO GUARNE
VALLE DEL CAUCA,CALI,COLEGIO VIVENCIAS EU,KR 3 A 71 D 17
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL INTEGRADO SANTO TORIBIO DE MOGROVEJO                                                            ,CL 49 A SUR 5 A 37
TOLIMA,IBAGUÉ,JARDIN INF MARIA MONTESSORI,MZ.  1 CSA . 30
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN WILLIAM MACKINLEY                                                                              ,DG 22 B 48 53
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO BET-EL,KR 90 135 B 68
VALLE DEL CAUCA,CALI,COLEGIO EMPRESARIAL MODERNO,CL 17 OESTE 6 16
ATLÁNTICO,SABANALARGA,GIMNASIO MONTESSORIANO,CALLE 22  16A - 23
CAUCA,LÓPEZ,I.E. ZARAGOZA,CORREGIMIENTO ZARAGOZA
SANTANDER,BARRANCABERMEJA,INST EDUCATIVA INFANTAS                                                                             ,CL 64 18 69
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL EL RINCON DE LOS CARIÑOSOS,KR 42 B 88 89
ANTIOQUIA,URAMITA,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL IAUR,VDA EL BALCON
CAUCA,ARGELIA,C.E. LA PLAYA,VDA. LA PLAYA
ANTIOQUIA,ITAGUI,COLEGIO ALEMAN                                              ,KR 61 34 62
MAGDALENA,SANTA MARTA,INSTITUTO SAGRADO CORAZON DE JESUS,MZ 47 CS 8 EL PANDO
NARIÑO,LA FLORIDA,CENTRO EDUCATIVO DUARTE ALTO,VEREDA DUARTE ALTO
META,VILLAVICENCIO,COL NZADO FEM DE BTO DE VILLAVICENCIO,KR 33 18 A 46
VALLE DEL CAUCA,PALMIRA,COLEGIO FRANCISCO BARONA RIVERA,CL 30 20 56
BOLÍVAR,CARTAGENA,ESCUELA NORMAL SUPERIOR DE CARTAGENA DE INDIAS,BARRIO NUEVO BOSQUE TRANSV.53 #23A-107
CAQUETÁ,CARTAGENA DEL CHAIRÁ,I.E EL CHAIRA JOSE MARIA CORDOBA,CLL 2 NO. 2-13
META,VILLAVICENCIO,CENT EDUC CRISTIANO LUIS M ORTIZ,CL 24 NO 35 - 43
CUNDINAMARCA,SOACHA,COLEGIO SAULO DE TARSO,CL 11 1 20
BOLÍVAR,CARTAGENA,CENT. DE ENSEÑANZA HIJOS DE BOLIVAR,DG 32 71 42
ATLÁNTICO,SOLEDAD,LICEO MIXTO JORGE ISAACS,CALLE 51A N­.2D3-16
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,I.E. PADRE ROBERTO ARROYAVE VELEZ ,CL 46 50 225
NARIÑO,PASTO,I.E.M. EDUARDO ROMO ROSERO,BUESAQUILLO CENTRO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO INTEGRADO EDUARDO CABALLERO CALDERON,CL 132 D BIS 132 08
SUCRE,SAMPUÉS,I.E. GIMNASIO DEL ROSARIO,KR 23 20 32
SANTANDER,GIRÓN,LICEO SEÑOR DE LOS MILAGROS                                                                 ,CL 28 27 35
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO GUSTAVO MORALES MORALES (IED),CL 129 55 55
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PSICOPEDAG UCRANIA                                                                              ,CR. 3B NO.48R-87 SUR
ANTIOQUIA,ITAGUI,C.E. CACHORRITOS,CL 44 44 03
SANTANDER,RIONEGRO,INSTITUCION EDUCATIVA  LLANA DE LA TIGRA,VEREDA LA CORCOVADA
ANTIOQUIA,VIGÍA DEL FUERTE,I.E. NUEVO HORIZONTE,BARRIO. VENEZUELA
CAUCA,EL TAMBO,I.E. DE CHISQUIO,CORREGIMIENTO CHISQUIO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PSICOPEDAG MORATO                                                                               ,DG 103 54 65
TOLIMA,ARMERO,INSTITUCION EDUCATIVA TECNICA INSTITUTO ARMERO,CLL 9  ENTRE CR  14 Y 15
NARIÑO,BARBACOAS,CENTRO EDUCATIVO EL PEJE,CARRETERA NACIONAL
BOYACÁ,RAMIRIQUÍ,IE  AGROP EL ESCOBAL,VDA EL ESCOBAL
SANTANDER,SAN GIL,I.E. SAN  JUAN BOSCO,VEREDA EL TABOR
BOLÍVAR,CARTAGENA,CORP. DE ATENCION INTEGRAL PASOS FIRMES,CL EL TANCON KR 50 A 31
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL MI BELLO CARRUSEL,CL 47 8 D 89
CUNDINAMARCA,CHÍA,COLEGIO GIMNASIO AMERICANO,CL 16 KR 7 96
BOYACÁ,SUTATENZA,IE TEC SAN BARTOLOME,CL 3 # 7 - 46  
ANTIOQUIA,TURBO,I.E. TURBO,CL 100 18 24
HUILA,AGRADO,IE LA MERCED,SALIDA VIA A GARZON
CÓRDOBA,BUENAVISTA, IE MARISCAL SUCRE,CLL 12A N 10-90
LA GUAJIRA,DISTRACCIÓN,CENTRO EDNOEDUCATIVO DE CAICEMAPA,RESGUARDO INDIGENA CAICEMAPA
BOLÍVAR,SAN ESTANISLAO,INSTITUCION EDUCATIVA MAURICIO NELSON VISBAL,IND BARRIO BARRANQUILLITA
SANTANDER,BUCARAMANGA,COL ASOCIACION NIÑOS DE PAPEL                                                                       ,CLL 48 NO 18-79
SANTANDER,GIRÓN,I.E. SAN JOSE DE MOTOSO.,VDA.  MOTOSO
CUNDINAMARCA,FACATATIVÁ,COLEGIO EL LIBERTADOR                                           ,CR 5 NO 8 43
CAUCA,CAJIBÍO,I.E. EFRAIN OROZCO,INSPECCION DE POLICIA LA VENTA
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA DISTRITAL HILDA MUÑOZ,CL 70 C 24 B 24
BOYACÁ,TUNJA,JARDÍN INFANTIL MI MUNDO FELIZ,IND DG 63 A 5-23B
SANTANDER,BARRANCABERMEJA,COL BILINGÜE CHESTER PALMER                                                                         ,KR 21 49 28
LA GUAJIRA,SAN JUAN DEL CESAR,CENTRO ETNOEDUCATIVO LA LAGUNA,CGTO DE LA LAGUNA
SANTANDER,BUCARAMANGA,LICEO EDUCATIVO LOS ALAMOS,CL 71 52 34
RISARALDA,DOSQUEBRADAS,I.E. CARTAGENA,VDA. LA UNION
NARIÑO,EL TABLÓN DE GÓMEZ,CENTRO  EDUCATIVO  EL SILENCIO,VDA EL SILENCIO
CALDAS,LA DORADA,COLEGIO LA VOZ DE LA ESPERANZA,CARRERA 3 19-58
CASANARE,TRINIDAD,INST TEC INTEGRADO DE TRINIDAD,CLL 7 NO 4-49
CAUCA,CALDONO,C.E. NUESTRA SEÑORA DEL ROSARIO - PESCADOR,CORREGIMIENTO  PESCADOR
BOYACÁ,SOGAMOSO,EL TALLER DE WINNIE POO,KRA 9A Nº 26-51
CUNDINAMARCA,UBAQUE,INSTITUCION EDUCATIVA DEPARTAMENTAL INSTITUTO TECNICO DE ORIENTE,CALLE 3 Nº 4-60
CAUCA,PUERTO TEJADA,I.E. SAN PEDRO CLAVER,CL 18 17 10
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO ARTISTICO SAN JOSE,KR 137 BIS 132 F 12
ANTIOQUIA,REMEDIOS,C. E. R. EL TAMBOR - BUENOS AIRES,VDA. BUENOS AIRES
CUNDINAMARCA,VIOTÁ,INSTITUTO DE PROMOCION SOCIAL LIBERIA VIOTA,VEREDA LIBERIA - VIOTA
NARIÑO,POLICARPA,CENTRO EDUCATIVO VILLA DEL CARMEN,EL PEDREGAL
SANTANDER,BUCARAMANGA,INST  BINET                                                                                         ,CL 106 A 15 D 42
NORTE DE SANTANDER,CÚCUTA,COL MARIA MONTESSORI,AV 0 7 70
VALLE DEL CAUCA,GUADALAJARA DE BUGA,JARDIN INFANTIL SAN VICENTE DE PAUL,KR 14 B 18 34
CAUCA,SANTANDER DE QUILICHAO,INSTITUCION EDUCATIVA ANA JOSEFA MORALES DUQUE,KR 25 5 200
VALLE DEL CAUCA,CALI,LICEO ILLARE,KR 13 54 08
BOLÍVAR,SAN JUAN NEPOMUCENO,I.E.  NORMAL SUPERIOR MONTES DE MARIA,CLL CENTRAL 
CHOCÓ,QUIBDÓ,IE AGROP MIGUEL VICENTE GARRIDO,KR 1 29 8
ANTIOQUIA,CHIGORODÓ,I. E. R.  BARRANQUILLITA,CORREG. BARRANQUILLITA 
CÓRDOBA,TIERRALTA,CENTRO EDUCATIVO RURAL SANTA FE RALITO,CORREG. SANTA FE RALITO
ANTIOQUIA,ZARAGOZA,I. E.R.  NANCY ROCIO GARCIA,CORREG. BUENOS AIRES PALIZ
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),CL 78 BIS 68 A 45
ANTIOQUIA,ITAGUI,CENTRO EDUCATIVO TREN DE LA ALEGRIA                         ,KR 69 B 31 34
VALLE DEL CAUCA,GUADALAJARA DE BUGA,COL GIMNASIO MODERNO,CL 6 15 48
VALLE DEL CAUCA,BOLÍVAR,IE BETANIA,CORREG BETANIA
NARIÑO,LOS ANDES,CENTRO EDUCATIVO  EL ALTO,CORREGIMIENTO EL  CARRIZAL
NARIÑO,ANCUYÁ,CENTRO EDUCATIVO EL PLACER,VEREDA EL PLACER
BOYACÁ,TIBANÁ,IE GUSTAVO ROMERO HERNANDEZ,CL 1 # 3 - 91
MAGDALENA,SANTA MARTA,IED FCO DE PAULA SANTANDER,KR 12 17 A 76
ANTIOQUIA,MEDELLÍN,COL EXTERNADO PATRIA - SEDE CENTRO,KR 43 49 20
ATLÁNTICO,BARRANQUILLA,LICEO JUAN PABLO II,CL 36 B 2 B 19
VALLE DEL CAUCA,CALI,COLEGIO JARDIN INFANTIL MI AMPARITO,KR 22 41 21
ATLÁNTICO,SOLEDAD,INSTITUCION EDUCATIVA INTEGRAL EL SABER - INEDINSA,CL 46 14 10
NORTE DE SANTANDER,CÚCUTA,CORP PEDAG DEL NORTE  CORPENORT ,AV 4 NO 13-52
CALDAS,MANIZALES,INSTITUCIÓN EDUCATIVA DIVINA PROVIDENCIA,CL 28 15 30
META,CUMARAL,IE SAN ISIDRO DE VERACRUZ,INSP. DE VERACRUZ
ATLÁNTICO,SOLEDAD,INSTITUCION EDUCATIVA DIVINA MISERICORDIA,CL 33 B 24 70
CAUCA,POPAYÁN,COLEGIO LIDERES DEL FUTURO,CL 3 57 C 01
CUNDINAMARCA,VILLETA,HOGAR INFANTIL ZAMBRANO CAMADER,DIAGONAL 9 ¿ 8-45
SANTANDER,BUCARAMANGA,FUND GIMN MAYOR SAN PAULO                                                                           ,CLL 55  NO  28-31
VALLE DEL CAUCA,GUADALAJARA DE BUGA,COLEGIO INTEGRAL LA ALEGRIA DEL SABER,CL 16 14 81
HUILA,COLOMBIA,IE SANTA ANA,INSP SANTA ANA
HUILA,SALADOBLANCO,IE MISAEL PASTRANA B,CL 2 # 2-05
HUILA,PITALITO,IE MUNICIPAL GUACACALLO,CORREG GUACACALLO
BOLÍVAR,ARJONA,INSTITUCION EDUCATIVA TECNICA AGROINDUSTRIAL REPUBLICA DE COLOMBIA,IND CLL. LAS BRISAS
MAGDALENA,SABANAS DE SAN ANGEL,INSTITUCION ETNOEDUCATIVA DEPARTAMENTAL ETTE ENNAKA,RESGUARDO INDIGENA DE ISSA ORISTUNNA
LA GUAJIRA,SAN JUAN DEL CESAR,INSTITUCION MANUEL ANTONIO DAVILA,CL 6 7 78
VALLE DEL CAUCA,CALI,INSTITUTO NACIONAL EBENEZER,CL 50 A 32 A 12
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST ANDRES FEY                                                                                     ,CL 66 A 72 40
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO AVENTURAS,KR 34 47 34
NARIÑO,BARBACOAS,CENTRO EDUCATIVO BOCAS DE ULI,RIO TELEMBI
LA GUAJIRA,MAICAO,INSTITUCION EDUCATIVA NO. 3,CL 19 4 72
RISARALDA,DOSQUEBRADAS,INSTITUCION EDUCATIVA POPULAR DIOCESANO,IND LA BADEA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST DE CAPACITACION PARA EL TRABAJO,CL 63 22 39
CUNDINAMARCA,MADRID,COLEGIO GIMNASIO SAN BARTOLOME,KR 5 1 A 64
HUILA,ACEVEDO,IE MARTICAS,VDA MARTICAS
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL PEQUEÑAS ESTRELLAS,KR 65 76 30
HUILA,SAN AGUSTÍN,IE LOS CAUCHOS,VDA LOS CAUCHOS
RISARALDA,QUINCHÍA,NUESTRA SEÑORA DE LOS DOLORES,CL 5 5 20
CESAR,CURUMANÍ,I.E. CRISTIAN MORENO PALLARES,CORREG. DE SABAGRANDE
VALLE DEL CAUCA,CALI,LICEO  CRECIENDO EN CRISTO,CALLE 72A#1A4-55
SANTANDER,BUCARAMANGA,COL  DE LAS AMERICAS                                                                                ,CL 51 24 20
NARIÑO,LEIVA,CENTRO EDUCATIVO VILLA ALTA,VEREDA VILLA ALTA
ANTIOQUIA,MEDELLÍN,INST EDUC RODRIGO LARA BONILLA,KR 25 69 D 35
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",NUEVO LIC SANTA CLARA,KR 10 49 F 90 SUR
TOLIMA,IBAGUÉ,LICEO LOS TRINITARIOS,CLL 145A NO. 43 SUR 76
TOLIMA,SAN SEBASTIÁN DE MARIQUITA,LICEO MODERNO GENIOS MARIQUITEÑOS,CL 9 5 53
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC MODERNO MIS COMPAÑERITOS                                                                        ,CL 20 C 96 I 40
NARIÑO,LINARES,CENTRO EDUCATIVO LA VENDEAGUJA,VEREDA LA VENDEAGUJA
NARIÑO,SAN ANDRES DE TUMACO,I. E. CIUDADELA EDUCATIVA TUMAC,IND LA CIUDADELA
VALLE DEL CAUCA,CARTAGO,INSTITUTO DE COMERCIO PRACTICO INSCOP,CL 8 4 69
VALLE DEL CAUCA,PALMIRA,IE SAGRADA FAMILIA,KR 23 31 06
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF LERNER Y KLEIN                                                                             ,DG 53 43 75
ANTIOQUIA,MEDELLÍN,INST EDUC MANUELA BELTRAN,KR 37 71 47
AMAZONAS,TARAPACÁ,ESC EL GUAYABAL,COMUNID SANTA LUCIA
CUNDINAMARCA,CHÍA,GIMNASIO LOS ANGELES APRENDER HACIENDO SAS,VDA FAGUA FINCA SAN LUIS SIETE
SANTANDER,BUCARAMANGA,CENT EDUC NIÑO DE PRAGA,KR 20 10 17
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO JUAN BAUTISTA,KR 12 G 69 42
NORTE DE SANTANDER,EL TARRA,INSTITUCION EDUCATIVA ORU BAJO,CORREG ORU
BOLÍVAR,SAN JUAN NEPOMUCENO,INSTITUCION EDUCATIVA SAN CAYETANO,CORREGIMIENTO SAN CAYETANO BARRIO CASSINGUI
