nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
ARAUCA,ARAUCA,INSTITUCION EDUCATIVA BILINGUE MAGIC WORLD,KR 17 16 43
CAUCA,CALDONO,FUNDACION LICEO COMERCIAL COMERCIAL CIUDAD EL BORDO,IND CASCO URBANO
PUTUMAYO,ORITO,JARDIN INFANTIL SAN LUIS,KR 15 VI PRINCIPAL
SUCRE,GUARANDA,C.E. NUEVO SUCRE,VDA. NUEVO SUCRE
ANTIOQUIA,MEDELLÍN,HOG INF BRISAS DE ROBLEDO,KR 88 92 C 165
SUCRE,SINCELEJO,INSTITUCION EDUCATIVA PARA JOVENES Y ADULTOS DE LA SABANAS,KR 17 16 29
ATLÁNTICO,BARRANQUILLA,CENT EDUC LA SABIDURIA,KR 51 80 299
BOLÍVAR,EL CARMEN DE BOLÍVAR,CENTRO EDUCATIVO NUESTRA SEÑORA DEL CARMEN,CRA.52 NO 23-31
CUNDINAMARCA,FUNZA,COLEGIO TECNISISTEMAS,CRA 13 # 7-62
MAGDALENA,SANTA MARTA,EUROPEAN SCHOOL DE SANTA MARTA,CL 7 6-101
CESAR,VALLEDUPAR,COL. LORENZA A. PEREZ,CRA . 13 36-41
HUILA,NEIVA,INST DE SERVICOS ACADEMICOS- IDESA,KR 3 5 44
META,VILLAVICENCIO,IE COL JESSE OWENS,IND CL 18B S # 43A-106
VALLE DEL CAUCA,CANDELARIA,CENT EDUC NUESTRA SRA DEL CARMELO,CR 13 NO 13-31
CAUCA,ALMAGUER,INSTITUCION EDUCATIVA LLACUANAS,CORREGIMIENTO LLACUANAS
META,ACACÍAS,IE VEINTE DE JULIO,CALLE 11 # 36B 11
ANTIOQUIA,MEDELLÍN,INST EDUC VIDA PARA TODOS,KR 12 52 44
CUNDINAMARCA,SIBATÉ,LIC CAMP BOSQUE ANDINO                                      ,KM 3 VIA CLUB NAUTICO VDA LA UNION
HUILA,GUADALUPE,COLEGIO PEDAGOGICO CAMBIDGE,CL 4 12 17
CAUCA,SILVIA,INSTITUCION EDUCATIVA NUESTRA SENORA DEL PERPETUO SOCORRO,KR 2 10 55
RISARALDA,PEREIRA,LIC ECOLOGICO RANITAS VERDES,MZ 3 CS 6 PANORAMA I
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL VEINTE DE JULIO,KR 5 NORTE 33 01
VALLE DEL CAUCA,CAICEDONIA,IE LA CONSOLITA,VDA SAMARIA
SANTANDER,BUCARAMANGA,INST EDUC PENTECOSTAL                                                                               ,CL 42 16 40
VALLE DEL CAUCA,PALMIRA,LICEO PSICOPEDAGOGICO VALIENTES,KR 29 25 66
TOLIMA,IBAGUÉ,LICEO LA PAZ,SM 7 MZ 2 CS 09
