Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Kilimanjaro,Same,Kisima,KIBACHA,S.1274,S1422,Government,-4.523322,37.4512758,78,94,83,76,84,102,83,108,0,0,0,0,328,380,16,23,16,23,18,18,181,178,98,4.3086,8,7,3864,2906,40 and More
Kilimanjaro,Same,Kisima,MOTHER KELVIN,S.5300,S5945,Non-Government,-4.094304,37.758704,13,17,16,15,14,11,0,0,0,0,0,0,43,43,5,5,5,5,9,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Kisima,ST. JACOBUS,S.5652,S6445,Non-Government,-4.0861111,37.7547222,18,12,0,0,0,0,0,0,0,0,0,0,18,12,5,2,5,2,4,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Kisima,TERESA OF CALCUTA -GIRLSUTA,S.3837,S3822,Non-Government,-4.059855,37.725202,0,101,0,74,0,75,0,74,0,0,0,0,0,324,13,6,13,6,17,17,75,75,75,2.9025,4,4,477,385,40 and More
Kilimanjaro,Same,Kisiwani,KISIWANI,S.735,S0901,Government,-4.1396373,37.9578548,87,94,83,92,65,95,57,100,89,0,61,0,442,381,16,13,16,13,28,28,125,123,116,3.8276,6,6,1999,2144,40 and More
Kilimanjaro,Same,Kisiwani,MT. CLARA,S.3593,S4556,Non-Government,-4.09771,37.926619,0,65,0,93,0,63,0,137,0,0,0,0,0,358,20,4,20,4,15,15,157,157,157,2.1431,3,2,159,88,40 and More
Kilimanjaro,Same,Lugulu,LUGULU,S.4780,S5227,Government,-4.3475483,38.0105533,24,28,19,32,22,16,10,15,0,0,0,0,75,91,9,4,9,4,13,13,55,52,47,4.1457,7,7,3408,3477,40 and More
Kilimanjaro,Same,Mabilioni,MABILIONI,S.3893,S4703,Government,-4.5595083,37.9471156,44,67,29,62,28,73,25,64,0,0,0,0,126,266,20,7,20,7,15,15,117,107,98,3.683,6,6,1427,1526,40 and More
Kilimanjaro,Same,Makanya,MAKANYA,S.652,S0802,Government,-4.3602516,37.806644,80,91,57,104,78,82,72,84,0,0,0,0,287,361,14,13,14,13,24,24,184,182,164,3.8449,6,6,2073,2072,40 and More
Kilimanjaro,Same,Maore,GONJA,S.734,S0875,Government,-4.174055,38.001549,89,86,79,98,35,55,44,62,0,0,0,0,247,301,16,16,16,16,17,17,236,234,201,3.9014,6,6,2339,2056,40 and More
