geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-004992,2011,51100225,1,0,1,0,,,,
HND-004898,2011,51100012,1,0,1,0,,,,
HND-004967,2011,51100134,1,0,1,1,,,,
HND-004995,2011,51100246,1,0,1,0,,,,
HND-004952,2011,51100100,1,0,1,0,,,,
HND-004906,2011,51100020,1,0,1,1,,,,
HND-004959,2011,51100111,0,0,1,0,,,,
HND-004954,2011,51100103,1,0,1,0,,,,
HND-004918,2011,51100034,1,0,1,1,,,,
HND-004996,2011,51100247,1,0,1,0,,,,
HND-004949,2011,51100094,1,0,1,0,,,,
HND-004997,2011,51100250,1,0,1,0,,,,
HND-004979,2011,51100159,1,0,1,1,,,,
HND-004943,2011,51100081,1,0,1,0,,,,
HND-004900,2011,51100014,1,0,1,1,,,,
HND-004936,2011,51100062,1,0,1,1,,,,
HND-004968,2011,51100135,,0,,0,,,,
HND-004977,2011,51100155,1,0,1,1,,,,
HND-004926,2011,51100046,1,0,1,1,,,,
HND-004947,2011,51100088,,0,,0,,,,
HND-005012,2011,51100305,,,,,,,,
HND-003999,2011,50100331,1,0,1,0,,,,
HND-005009,2011,51100298,1,0,1,0,,,,
HND-004905,2011,51100019,0,0,1,1,,,,
HND-005002,2011,51100280,1,1,1,1,,,,
HND-004944,2011,51100082,1,0,1,0,,,,
HND-004940,2011,51100073,1,0,1,0,,,,
HND-004945,2011,51100084,1,0,1,0,,,,
HND-004975,2011,51100153,1,0,1,0,,,,
HND-004895,2011,51100008,1,0,1,1,,,,
HND-003993,2011,50100314,1,0,1,0,,,,
HND-004059,2011,50100595,1,0,1,0,,,,
HND-003946,2011,50100160,1,0,1,0,,,,
HND-003853,2011,50100025,1,0,1,0,,,,
HND-004171,2011,50101363,,,,,,,,
HND-004974,2011,51100149,1,0,1,0,,,,
HND-004070,2011,50100702,1,0,1,0,,,,
HND-004985,2011,51100179,0,0,1,0,,,,
HND-003843,2011,50100007,,0,,0,,,,
HND-004000,2011,50100334,1,0,1,0,,,,
HND-004127,2011,50101121,,0,,0,,,,
HND-004042,2011,50100534,1,0,1,1,,,,
HND-004142,2011,50101222,,0,,0,,,,
HND-003927,2011,50100116,1,0,1,1,,,,
HND-004030,2011,50100488,1,0,1,0,,,,
HND-004140,2011,50101219,,0,,0,,,,
HND-003992,2011,50100312,1,0,1,0,,,,
HND-003954,2011,50100182,,0,,0,,,,
HND-003948,2011,50100165,1,0,1,0,,,,
HND-004060,2011,50100596,1,0,1,0,,,,
HND-004031,2011,50100489,1,0,1,0,,,,
HND-004123,2011,50101116,,0,,0,,,,
HND-004157,2011,50101301,,,,,,,,
HND-003865,2011,50100042,1,0,1,1,,,,
HND-004162,2011,50101314,,,,,,,,
HND-004024,2011,50100449,1,0,1,1,,,,
HND-004152,2011,50101285,,0,,0,,,,
HND-003994,2011,50100319,1,0,1,0,,,,
HND-004047,2011,50100548,1,0,1,0,,,,
HND-004032,2011,50100490,1,0,1,0,,,,
HND-004110,2011,50100986,1,0,1,0,,,,
HND-004098,2011,50100907,1,0,1,0,,,,
HND-004957,2011,51100109,1,0,1,0,,,,
HND-004903,2011,51100017,1,0,1,1,,,,
HND-004963,2011,51100117,,0,,0,,,,
HND-004063,2011,50100626,1,0,1,0,,,,
HND-003912,2011,50100095,,0,,0,,,,
HND-004097,2011,50100901,,0,,0,,,,
HND-005019,2011,51200009,,0,,0,,,,
HND-004002,2011,50100337,1,0,1,0,,,,
HND-005038,2011,51200054,1,0,1,0,,,,
HND-004054,2011,50100565,1,0,1,1,,,,
HND-004111,2011,50100998,1,0,1,0,,,,
HND-003936,2011,50100138,1,0,1,1,,,,
HND-004077,2011,50100764,,0,,0,,,,
HND-004131,2011,50101146,1,0,1,0,,,,
HND-004056,2011,50100567,1,0,1,1,,,,
HND-004090,2011,50100854,1,0,1,0,,,,
HND-004141,2011,50101221,,0,,0,,,,
HND-004156,2011,50101300,,,,,,,,
HND-004078,2011,50100765,,0,,0,,,,
HND-003991,2011,50100310,1,0,1,0,,,,
HND-004915,2011,51100030,1,0,1,1,,,,
HND-003928,2011,50100118,1,0,1,0,,,,
HND-003876,2011,50100053,0,0,1,0,,,,
HND-003980,2011,50100279,1,0,1,0,,,,
HND-003929,2011,50100119,1,0,1,0,,,,
HND-003908,2011,50100091,,0,,0,,,,
HND-003945,2011,50100152,0,0,0,0,,,,
HND-003895,2011,50100076,1,0,1,0,,,,
HND-003854,2011,50100027,1,0,0,0,,,,
HND-004003,2011,50100340,1,0,0,0,,,,
HND-003930,2011,50100120,1,0,1,1,,,,
HND-004012,2011,50100366,1,1,1,1,,,,
HND-004118,2011,50101082,1,0,1,0,,,,
HND-004029,2011,50100487,1,0,1,0,,,,
HND-004155,2011,50101299,,,,,,,,
HND-003922,2011,50100108,1,0,1,0,,,,
HND-003997,2011,50100324,1,0,1,0,,,,
HND-003863,2011,50100037,1,0,1,0,,,,
HND-003949,2011,50100167,1,0,1,1,,,,
HND-003855,2011,50100028,1,0,1,0,,,,
HND-003944,2011,50100151,1,0,1,0,,,,
HND-004028,2011,50100486,1,0,1,0,,,,
HND-003968,2011,50100235,1,0,1,1,,,,
HND-003920,2011,50100106,1,0,1,1,,,,
HND-004085,2011,50100796,,0,,0,,,,
HND-004019,2011,50100412,1,0,1,0,,,,
HND-004100,2011,50100926,,0,,0,,,,
HND-003846,2011,50100013,1,0,1,0,,,,
HND-004021,2011,50100422,1,0,1,0,,,,
HND-004081,2011,50100780,1,0,1,0,,,,
HND-003937,2011,50100139,1,0,1,1,,,,
HND-003938,2011,50100140,1,0,1,0,,,,
HND-003995,2011,50100321,1,0,1,0,,,,
HND-003931,2011,50100123,1,0,1,0,,,,
HND-004001,2011,50100336,1,0,1,1,,,,
HND-003965,2011,50100214,1,0,1,0,,,,
HND-004027,2011,50100457,1,0,1,0,,,,
HND-003919,2011,50100105,1,0,1,1,,,,
HND-004011,2011,50100365,1,0,1,1,,,,
HND-003955,2011,50100184,1,0,1,0,,,,
HND-004076,2011,50100756,1,0,1,0,,,,
HND-004071,2011,50100706,,0,,0,,,,
HND-004017,2011,50100409,1,0,1,0,,,,
HND-004055,2011,50100566,1,0,1,1,,,,
HND-004117,2011,50101062,1,0,1,0,,,,
HND-003987,2011,50100300,1,0,1,1,,,,
HND-003943,2011,50100148,1,0,1,0,,,,
HND-003860,2011,50100034,1,0,1,1,,,,
HND-004113,2011,50101018,,0,,0,,,,
HND-004075,2011,50100736,1,0,1,0,,,,
HND-004045,2011,50100538,1,0,1,0,,,,
HND-003926,2011,50100115,1,0,1,1,,,,
HND-003996,2011,50100323,1,0,1,1,,,,
HND-003973,2011,50100250,1,0,1,0,,,,
HND-004134,2011,50101175,1,0,0,0,,,,
HND-004080,2011,50100779,,0,,0,,,,
HND-004046,2011,50100539,,0,,0,,,,
HND-003981,2011,50100280,1,0,1,0,,,,
HND-004010,2011,50100363,1,0,1,0,,,,
HND-003985,2011,50100296,1,0,1,0,,,,
HND-003921,2011,50100107,1,0,1,1,,,,
HND-004016,2011,50100396,,0,,0,,,,
HND-004137,2011,50101193,1,0,1,0,,,,
HND-003904,2011,50100087,1,0,1,1,,,,
HND-003974,2011,50100253,1,0,1,0,,,,
HND-003906,2011,50100089,1,0,1,1,,,,
HND-003838,2011,50100001,1,0,1,1,,,,
HND-003998,2011,50100329,1,0,1,0,,,,
HND-003961,2011,50100201,1,0,1,1,,,,
HND-003916,2011,50100101,1,0,1,1,,,,
HND-003986,2011,50100299,1,0,0,0,,,,
HND-003988,2011,50100302,1,0,1,0,,,,
HND-003878,2011,50100056,1,0,1,0,,,,
HND-003877,2011,50100055,1,0,1,0,,,,
HND-004052,2011,50100562,,,,,,,,
HND-003893,2011,50100074,0,0,1,0,,,,
HND-003881,2011,50100061,1,0,1,0,,,,
HND-004092,2011,50100858,,0,,0,,,,
HND-004034,2011,50100494,1,0,1,0,,,,
HND-004061,2011,50100597,1,0,1,1,,,,
HND-003982,2011,50100283,1,0,1,0,,,,
