code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
20632005,Médenine,BENI KHEDDACHE,E.PREP.F.BEN ACHOUR B.KHEDECHE,E.PREP,مدنين,بني خداش,632005,م.إع.  الفاضل بن عاشور ببني خـداش,,اعدادي,33.244807266517654,10.21976351737976
20632006,Médenine,BENI KHEDDACHE,E.PREP.RTE.GHOM.BNI KHDACH,E.PREP,مدنين,بني خداش,632006,م.إع.طريق غمراسن ببني خداش,,اعدادي,33.20422235093439,10.224151611328125
20634001,Médenine,BEN GUERDENE,E.PREP.ROUTE HOPITAL B.GERDANE,E.PREP,مدنين,بن قردان,634001,م.إع.  طريق المستشفى ببنقردان,,اعدادي,33.344602734822416,10.571506187500063
40634002,Médenine,BEN GUERDENE,L. BEN GUERDANE 2  ,LYCEE,مدنين,بن قردان,634002,معهد  بنقردان 2,,معهد,33.114792011473604,11.228939294815063
20634003,Médenine,BEN GUERDENE,E.PREP.CHEBBI BEN GUERDANE,E.PREP,مدنين,بن قردان,634003,م.إع.  أبو القاسم الشابي ببنقردان,,اعدادي,33.33695345122112,10.9588623046875
40634004,Médenine,BEN GUERDENE,L.IBN HAZM R.ELMARSA BEN GARD,LYCEE,مدنين,بن قردان,634004,معهد  ابن حـزم طريق المرسى بنقـردان,,مختلط,33.161040958963945,11.209098994731903
20634005,Médenine,BEN GUERDENE,E.P.IB. ABI DH.CT.CHARA B.GU,E.PREP,مدنين,بن قردان,634005,م.إع.  ابن ابي الضياف حي الشارة بن قردان,,اعدادي,33.01096671579776,11.292572021484375
40634006,Médenine,BEN GUERDENE,L.BEN GUERDANE,LYCEE,مدنين,بن قردان,634006,معهد  بنقردان,,معهد,33.142150831105354,11.22528076171875
40634007,Médenine,BEN GUERDENE,L.IBN HAITHEM BEN GUERDANE,LYCEE,مدنين,بن قردان,634007,معهد ابن الهيثم بنقردان,,معهد,33.12671683282872,11.203183382749557
20634008,Médenine,BEN GUERDENE,E.PREP.I.CHARAF BEN GUERDANE,E.PREP,مدنين,بن قردان,634008,م.إع.  ابن شرف ببنقردان,,اعدادي,33.08003537299407,11.20330810546875
20634009,Médenine,BEN GUERDENE,E.PREP.IBN ARAFA BEN GUERDANE,E.PREP,مدنين,بن قردان,634009,م.إع.  ابن عرفة ببنقردان,,اعدادي,33.14549260492515,11.201784610748291
20634010,Médenine,BEN GUERDENE,E.PREP.ETTABEI.BEN GUERDANE,E.PREP,مدنين,بن قردان,634010,م.إع.  الطابعي بنقردان,,اعدادي,33.11259934304872,11.181721687316895
40634011,Médenine,BEN GUERDENE,L.IBN KHALDOUN BENGUERDANE,LYCEE,مدنين,بن قردان,634011,معهد ابن خلدون ببنقردان,,معهد,33.143407,11.261517
20634012,Médenine,BEN GUERDENE,E.PREP.IBN SINA CHAHBANIA,E.PREP,مدنين,بن قردان,634012,م.إع. ابن سينا  بالشهبانية,,اعدادي,33.252159,10.84145
20634505,Médenine,ZARZIS,E.PREP.HMADI ZARZIS,E.PREP,مدنين,جرجيس,634505,م.إع.حمادي بجرجيس,,اعدادي,33.4592490649363,11.101596519531313
40634506,Médenine,ZARZIS,L.EBN.ROCHD.ZAZIS,LYCEE,مدنين,جرجيس,634506,معهد  ابن رشد جرجيس,,معهد,33.498317614228505,11.11241340637207
40634507,Médenine,ZARZIS,L. ZARZIS,LYCEE,مدنين,جرجيس,634507,معهد  جرجيس,,معهد,33.51339612902034,11.104113310575485
40634508,Médenine,ZARZIS,L.2 MARS 34 ZARZIS,LYCEE,مدنين,جرجيس,634508,معهد  02 مارس 34 بجرجيس,,معهد,33.55543498841012,11.065890953125063
20634509,Médenine,ZARZIS,E.PREP.CHEMMAKH   ZARZIS,E.PREP,مدنين,جرجيس,634509,م.إع.  شماخ جرجيس,,اعدادي,33.563711876515214,11.0302734375
20634510,Médenine,ZARZIS,E.PREP.ZARZIS,E.PREP,مدنين,جرجيس,634510,م.إع.  بجرجيس,,اعدادي,33.50107292897788,11.110466584743563
20634511,Médenine,ZARZIS,E.PREP.SOUIHEL,E.PREP,مدنين,جرجيس,634511,م.إع.  السويحل جرجيس,,اعدادي,33.54850353984535,11.105836629867554
20634512,Médenine,ZARZIS,E.PREP. ELFARABI  ZARZIS ,E.PREP,مدنين,جرجيس,634512,م.إع. الفرابي  بجرجيس,,اعدادي,33.2280565,10.8903099
20634513,Médenine,ZARZIS,E.PREP.IBN  KHALDOUN ZARZIS,E.PREP,مدنين,جرجيس,634513,م.إع.  ابن خلدون جـرجيـس,,اعدادي,33.59997928225758,10.96435546875
20634514,Médenine,ZARZIS,E.PREP.ERRAJA ZARZIS,E.PREP,مدنين,جرجيس,634514,م.إع.  الرجاء جرجيس,,اعدادي,33.501504597172364,11.065011188568178
20634516,Médenine,ZARZIS,E.PREP.IBN MANDHOUR GUERIBIS,E.PREP,مدنين,جرجيس,634516,م.إع.  ابن منظور القريبيس جرجيس,,اعدادي,33.51619594368502,11.0428985953331
40634517,Médenine,ZARZIS,L.DHOUIHER.ZARZIS,LYCEE,مدنين,جرجيس,634517,معهد الظويهر بجرجيس,,معهد,33.5093393678006,11.08795166015625
20634518,Médenine,ZARZIS,E.PREP.MOUANASSA.ZARZIS,E.PREP,مدنين,جرجيس,634518,م.إع.  بالمؤانسة جرجيس,,اعدادي,33.59768290760244,10.523380525410175
40635005,Médenine,HOUMT SOUK,L.SIDI ZEKRI JERBA,LYCEE,مدنين,حومة السوق,635005,معهد سيدي زكري جربة,,معهد,33.86741345014065,10.828666514686688
20635006,Médenine,HOUMT SOUK,E.PREP.A.K.CHEBBI H.SOUK JERBA,E.PREP,مدنين,حومة السوق,635006,م.إع. أبو القاسم الشابي حومة السوق جربة,,اعدادي,33.867315456940545,10.860671997070312
40635008,Médenine,HOUMT SOUK,L.HOUMET ESSOUK JERBA,LYCEE,مدنين,حومة السوق,635008,معهد  حومة السوق جربة,,معهد,33.86727982302171,10.862828493118286
20635009,Médenine,HOUMT SOUK,E.PREP.HOUMET ESSOUK JERBA,E.PREP,مدنين,حومة السوق,635009,م.إع.  حومة السوق جربة,,اعدادي,33.877987146281654,10.857253521680832
20635010,Médenine,HOUMT SOUK,E.PREP.MELLITA JERBA,E.PREP,مدنين,حومة السوق,635010,م.إ.  بمليتة جربة,,اعدادي,33.85756011640846,10.802036225795746
40635011,Médenine,HOUMT SOUK,L.IBN ARAFA  HOUMET ESSOUK  JERBA,LYCEE,مدنين,حومة السوق,635011,معهد إبن عرفة  بحومة السوق جربة,,معهد,33.87814302501091,10.855575799942017
