geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ARG-000101,60022500,ESCUELA DE EDUCACIÓN PRIMARIA Nº100 SAVERIO LAIACONA,,ARG,Buenos Aires,MORON,
ARG-000102,60022900,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JUAN BAUTISTA ALBERDI,,ARG,Buenos Aires,MORON,
ARG-000103,60023000,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 GRAN BOURG,,ARG,Buenos Aires,ITUZAINGO,
ARG-000104,60023100,ESCUELA THOMAS EDISON,,ARG,Buenos Aires,ITUZAINGO,
ARG-000105,60023500,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 CORONEL FELIX BOGADO,,ARG,Buenos Aires,CAMPANA,
ARG-000106,60023700,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 LUIS COSTA,,ARG,Buenos Aires,CAMPANA,
ARG-000107,60024000,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 DOMINGO FAUSTINO SARMIENTO,,ARG,Buenos Aires,CAMPANA,
ARG-000108,60024100,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 GENERAL JOSÉ DE SAN MARTIN,,ARG,Buenos Aires,CAMPANA,
ARG-000109,60024300,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 HIPOLITO YRIGOYEN,,ARG,Buenos Aires,CAMPANA,
ARG-000110,60024500,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 MINISTRO DR. OSVALDO ZARINI,,ARG,Buenos Aires,CAMPANA,
ARG-000111,60024600,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 MANUEL BELGRANO,,ARG,Buenos Aires,CAMPANA,
ARG-000112,60024800,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 BERNARDINO RIVADAVIA,,ARG,Buenos Aires,CAMPANA,
ARG-000113,60025100,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 FLORESTANO ANDRADE,,ARG,Buenos Aires,ZARATE,
ARG-000114,60025300,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ENRIQUE ROCCA,,ARG,Buenos Aires,CAMPANA,
ARG-000115,60025500,DANTE ALIGHIERI,,ARG,Buenos Aires,CAMPANA,
ARG-000116,60025700,ESC SEC. MUNIC. DE EDUC. TEC. NRO 1,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000117,60025800,COLEGIO TOMAS ALVA EDISON,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000118,60025900,ESCUELA MUNICIPAL Nº10 ERIBERTO E. BRIGNOLE,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000119,60026200,ESCUELA DE EDUCACIÓN PRIMARIA Nº14 CRISTOBAL COLON,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000120,60026300,INSTITUTO EDUCATIVO PUNTA MOGOTES,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000121,60026400,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000122,60026500,ESCUELA DE EDUCACIÓN PRIMARIA Nº11 JORGE NEWBERY,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000123,60026600,ESCUELA DE EDUCACIÓN PRIMARIA Nº29 DR. JOSÉ MARIA RAMOS MEJIA,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000124,60026700,ESCUELA ATAHUALPA YUPANQUI,,ARG,Buenos Aires,SAN MIGUEL,
