geo_id,deped_id,school_name
BHR-000414,415,SAFIYA BINT ABDULMUTALIB PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000415,416,SAFRAH PRIMARY & INTERMEDIATE GIRLS SCHOOL
BHR-000416,417,SAKINAH BINT ALHUSSAIN PRIMARY GIRLS SCHOOL
BHR-000417,418,SALIMABAD PRIMARY GIRLS SCHOOL
BHR-000418,419,SANAD PRIMARY GIRLS SCHOOL
BHR-000419,420,SAR PRIMARY GIRLS SCHOOL
BHR-000420,421,SAR SECONDARY GIRLS SCHOOL
BHR-000421,422,SHAHRAKKAN PRIMARY GIRLS SCHOOL
BHR-000422,423,SITRA INTERMEDIATE GIRLS SCHOOL
BHR-000423,424,SITRA PRIMARY GIRLS SCHOOL
BHR-000424,425,SITRA SECONDARY GIRLS SCHOOL
BHR-000425,426,SUMAYAH PRIMARY GIRLS SCHOOL
BHR-000426,427,TUBLI PRIMARY GIRLS SCHOOL
BHR-000427,428,TULAITOLA PRIMARY GIRLS SCHOOL
BHR-000428,429,UMM AL QURRA PRIMARY INTERMEDIATE GIRLS SCHOOL
BHR-000429,430,UMM AYMAN PRIMARY GIRLS SCHOOL
BHR-000430,431,UMM KALTHOOM INTERMEDIATE GIRLS SCHOOL
BHR-000431,432,UMM SALAMAH INTERMEDIATE GIRLS SCHOOL
BHR-000432,433,WEST RIFFA INTERMEDIATE GIRLS SCHOOL
BHR-000433,434,WEST RIFFA PRIMARY GIRLS SCHOOL
BHR-000434,435,WEST RIFFA SECONDARY GIRLS SCHOOL
BHR-000435,436,YATHREB INTERMEDIATE GIRLS SCHOOL
BHR-000436,437,ZAINAB INTERMEDIATE GIRLS SCHOOL
BHR-000437,438,ZANOOBIA INTERMEDIATE GIRLS SCHOOL
BHR-000438,439,ZUBAIDA PRIMARY GIRLS SCHOOL
