geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-004039,,INSTITUTO EDUC. DE FORMACION INTEGRAL MO,,CRI,ALAJUELA,SAN CARLOS,AGUAS ZARCAS
CRI-004040,,SANTA ROSA ARRIBA,,CRI,SAN JOSE,LEON CORTES,SAN ISIDRO
CRI-004041,,LA CONCEPCION,,CRI,SAN JOSE,LEON CORTES,LLANO BONITO
CRI-004042,,TIQUIRITOS,,CRI,SAN JOSE,ACOSTA,SABANILLAS
CRI-004043,,EL VERGEL,,CRI,GUANACASTE,CAÑAS,CAÑAS
CRI-004044,,PASO LAJAS,,CRI,GUANACASTE,CAÑAS,CAÑAS
CRI-004045,,COLORADO,,CRI,SAN JOSE,ACOSTA,SABANILLAS
CRI-004046,,SAN MIGUEL ABAJO,,CRI,ALAJUELA,GRECIA,SAN ROQUE
CRI-004047,,BAHAMAS,,CRI,ALAJUELA,SAN CARLOS,CUTRIS
CRI-004048,,SAN MIGUEL,,CRI,ALAJUELA,UPALA,AGUAS CLARAS
CRI-004049,,LA VICTORIA,,CRI,LIMON,POCOCI,RITA
CRI-004050,,LUCAS BRICEÑO FONSECA,,CRI,GUANACASTE,NICOYA,QUEBRADA HONDA
CRI-004051,,ALTO DEL MONTE,,CRI,ALAJUELA,ATENAS,JESUS
CRI-004052,,LA RESERVA,,CRI,ALAJUELA,UPALA,BIJAGUA
CRI-004053,,EL COYOL,,CRI,ALAJUELA,LOS CHILES,EL AMPARO
CRI-004054,,TIQUIRUZAS,,CRI,GUANACASTE,CAÑAS,POROZAL
CRI-004055,,CABALLITO,,CRI,GUANACASTE,NICOYA,QUEBRADA HONDA
CRI-004056,,MATAMBAS,,CRI,GUANACASTE,NICOYA,SAN ANTONIO
CRI-004057,,SANTA EULALIA,,CRI,ALAJUELA,SAN CARLOS,VENADO
CRI-004058,,MONTE LOS OLIVOS,,CRI,GUANACASTE,TILARAN,QUEBRADA GRANDE
CRI-004059,,MONICO,,CRI,ALAJUELA,GUATUSO,BUENAVISTA
CRI-004060,,SAN RAFAEL,,CRI,LIMON,POCOCI,RITA
CRI-004061,,ARANCIBIA,,CRI,PUNTARENAS,PUNTARENAS,ARANCIBIA
