geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ZAF-016097,104310972,KLEINBERG PRIMARY SCHOOL,"AQUILA WAY, OCEAN VIEW, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016098,104311030,MARINE PRIMARY SCHOOL,"MILKY WAY, OCEAN VIEW, FISH HOEK, CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016099,104312245,SIMON'S TOWN SCHOOL,"HARRINGTON ROAD, SIMON'S TOWN, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016100,104313491,OCEAN VIEW SECONDARY SCHOOL,"HYDRA AVENUE, OCEAN VIEW, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016101,104314201,FISH HOEK HIGH SCHOOL,"13TH AVENUE, FISH HOEK, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016102,104316466,ST. JAMES RC PRIMARY SCHOOL,"BARTON ROAD, KALK BAY, , CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016103,104316849,CAPRICORN PRIMARY SCHOOL,"C/ONEVILLE RILEY &VRYGROND AVE, CAPRICORN, MUIZENBERG, CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016104,104373427,MASIPHUMELELE HIGH SCHOOL,"CNR CHASMAY AND GUINEFOWL ROAD, SUNNYDALE, FISH HOEK, CITY OF CAPE TOWN, 7975",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016105,105000798,ABBOTT'S COLLEGE (CLAREMONT),"GREENWOOD ROAD, CLAREMONT, , CITY OF CAPE TOWN, 7740",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016106,105000805,FORRES PRIMARY SCHOOL,"PARK ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016107,105000814,MICHAEL OAK WALDORF SCHOOL,"MARLOW ROAD, KENILWORTH, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016108,105000815,MICKLEFIELD SCHOOL,"SANDOWN ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016109,105000817,ROSEBANK PROGRESS COLLEGE,"MAIN ROAD, ROSEBANK, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016110,105000820,ST. JOSEPH'S COLLEGE,"BELMONT ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016111,105000822,CONSTANTIA WALDORF SCHOOL,"SPAANSCHEMAT RIVER ROAD, CONSTANTIA, , CITY OF CAPE TOWN, 7806",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016112,105000823,WESTERN PROVINCE PREPARATORY,"NEWLANDS ROAD, CLAREMONT, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016113,105000844,HERSCHEL GIRLS SCHOOL,"HERSCHEL ROAD, CLAREMONT, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016114,105000876,BISHOPS,"CAMP GROUND ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016115,105000935,SPRINGFIELD CONVENT OF THE HOLY ROSARY,"ST. JOHN'S ROAD, WYNBERG, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016116,105001047,AMBLESIDE SCHOOL OF HOUT BAY,"MILNER ROAD, HOUT BAY, , CITY OF CAPE TOWN, 7806",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016117,105003386,ISLAMIA COLLEGE,"IMAM HARON RD, LANSDOWNE, Rondebosch East, CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016118,105003390,RIVERSIDE S.D.A  SCHOOL,"LOWER KLIPFONTEIN RD, ATHLONE, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016119,105003392,THE VINE SCHOOL NPC,"DENVER ROAD, LANSDOWNE, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016120,105006043,AL-AZHAR PRIMARY SCHOOL,"WELTEVREDEN ROAD, RONDEVLEI, MITCHELLS PLAIN, CITY OF CAPE TOWN, 7785",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016121,105007061,AUBURN HOUSE SCHOOL,"AUBURN ROAD, KENILWORTH, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016122,105007063,DARUL ISLAM ISLAMIC HIGH SCHOOL,"CNR GENOCTSKAP & WILHELMUS RDS, GREENHAVEN, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016123,105007066,CEDAR HOUSE SCHOOL,"ASCOT ROAD, KENILWORTH, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016124,105007068,THE ARK CITY OF REFUGE TRADING AS THE ARK CHRISTIAN SCHOOL,"OLD FAURE/OLD NATIONAL RD, FAURE, , CITY OF CAPE TOWN, 7131",ZAF,Western Cape,METRO EAST,City of Cape Town Metropolitan Municipality
ZAF-016125,105007139,INTERNATIONAL SCHOOL CAPE TOWN,"WOODLAND HEIGHTS, EDINBURGH CLOSE, WYNBERG, CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016126,105007192,YESHUA CHRISTIAN PRIMARY SCHOOL,"ROSCOMMON ROAD, HEATHFIELD, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016127,105007284,STAR COLLEGE CAPE TOWN,"ELGIN ROAD, SYBRAND PARK, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016128,105007304,REDDAM HOUSE,"REDDAM AVENUE, TOKAI, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016129,105007359,JUNIOR COLLEGE,"BOUNDARY ROAD, SCHAAPKRAAL, OTTERY, CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016130,105007428,SHILOAH CHRISTIAN SCHOOL,"CNR GOSPORT & CASTLETOWN ROADS, WYNBERG, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016131,105008025,LEAP SCIENCE AND MATHS SCHOOL,"C/O ST. FRANCIS CATH CHURCH, NDABENI STREET, LANGA, CITY OF CAPE TOWN, 7455",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016132,105008028,PREMIER COLLEGE,"BAMFORD AVENUE, CRAWFORD, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016133,105008180,AMERICAN INTERNATIONAL SCHOOL OF CAPE TOWN,"SOETVLEI AVENUE, CONSTANTIA, , CITY OF CAPE TOWN, 7806",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016134,105008189,MADRASSATU TARBIYYAH,"11TH AVENUE, EAGLE PARK, LOTUS RIVER, CITY OF CAPE TOWN, 7805",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016135,105008250,CITY MISSION EDUCATIONAL SERVICES,"TARENTAAL STREET, BRIDGETOWN, ATHLONE, CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016136,105008252,SILVERSANDS SECONDARY SCHOOL,"BARDALE ROAD, BARDALE VILLAGE, KUILS RIVER, CITY OF CAPE TOWN, 7580",ZAF,Western Cape,METRO EAST,City of Cape Town Metropolitan Municipality
ZAF-016137,105008291,CHRISTEL HOUSE SOUTH AFRICA,"SWALLOWCLIFFE DRIVE, OTTERY, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016138,105008330,ORACLE SENIOR SECONDARY SCHOOL (NPC),"OLD STRANDFONTEIN & SHAFTSBURY, OTTERY, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016139,105008404,THE LEADERSHIP COLLEGE,"OHIO AVENUE, PRIMROSE PARK, ATHLONE, CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016140,105041120,THANDOKHULU SECONDARY SCHOOL,"C/O MAIN & ALBERT ROAD, MOWBRAY, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016141,105062400,STARLING PRIMARY SCHOOL,"CNR REPULSE RD & STARLING STRE, EXTENSION 5, BELLMORE PARK, CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016142,105062424,RYLANDS PRIMARY SCHOOL,"CARNIE ROAD, RYLANDS ESTATE, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016143,105062434,PELICAN PARK PRIMARY,"BEAK ROAD, PELICAN PARK, ZEEKOEVLEI, CITY OF CAPE TOWN, 7888",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016144,105062454,PELICAN PARK HIGH SCHOOL,"CNR BUCK RD & 11 TH AVENUE, PELICAN PARK, ZEEKOEVLEI, CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016145,105062458,RYLANDS HIGH SCHOOL,"BOULEVARD BALU PARKER, GATESVILLE, , CITY OF CAPE TOWN, 7764",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016146,105304600,ST. JOSEPH'S MARIST JUNIOR,"BELMONT ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016147,105304604,ST. ANNE'S PRIMARY SCHOOL,"STELLA ROAD, PLUMSTEAD, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016148,105308208,PLUMSTEAD PREPARATORY,"TOTNES ROAD, PLUMSTEAD, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016149,105308212,WINDSOR PREPARATORY,"IMAM HARON ROAD, LANSDOWNE, , CITY OF CAPE TOWN, 7780",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016150,105309209,BERGVLIET PRIMARY SCHOOL,"CHILDREN'S WAY, BERGVLIET, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016151,105309223,CLAREMONT PRIMARY SCHOOL,"PALMYRA ROAD, CLAREMONT, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016152,105309246,FERNDALE PRIMARY SCHOOL,"OTTERY ROAD, OTTERY, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016153,105309253,GOLDEN GROVE PRIMARY SCHOOL,"STUART ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016154,105309258,GREENFIELD GIRLS' PRIMARY SCHOOL,"GWALIA ROAD, KENILWORTH, , CITY OF CAPE TOWN, 7745",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016155,105309259,GROOTE SCHUUR PRIMARY SCHOOL,"CAMPGROUND ROAD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016156,105309260,GROVE PRIMARY SCHOOL,"GROVE AVENUE, CLAREMONT, , CITY OF CAPE TOWN, 7708",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016157,105309269,JOHN GRAHAM PRIMARY SCHOOL,"MILFORD ROAD, PLUMSTEAD, , CITY OF CAPE TOWN, 7800",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
ZAF-016158,105309273,KIRSTENHOF PRIMARY SCHOOL,"LENTE STREET, KIRSTENHOF, , CITY OF CAPE TOWN, 7945",ZAF,Western Cape,METRO SOUTH,City of Cape Town Metropolitan Municipality
