CÓDIGO COLEGIO; REGIONAL; PROVINCIA; DISTRITO; CORREGIMIENTO; NOMBRE COLEGIO;ÁREA;OFERTA ACADÉMICA; TIPO;APROBADO 1 GRADO HOMBRE;APROBADO 1 GRADO MUJER;APROBADO 2 GRADO HOMBRE;APROBADO 2 GRADO MUJER;APROBADO 3 GRADO HOMBRE;APROBADO 3 GRADO MUJER;APROBADO 4 GRADO HOMBRE;APROBADO 4 GRADO MUJER;APROBADO 5 GRADO HOMBRE;APROBADO 5 GRADO MUJER;APROBADO 6 GRADO HOMBRE;APROBADO 6 GRADO MUJER;REPROBADO 1 GRADO HOMBRE;REPROBADO 1 GRADO MUJER;REPROBADO 2 GRADO HOMBRE;REPROBADO 2 GRADO MUJER;REPROBADO 3 GRADO HOMBRE;REPROBADO 3 GRADO MUJER;REPROBADO 4 GRADO HOMBRE;REPROBADO 4 GRADO MUJER;REPROBADO 5 GRADO HOMBRE;REPROBADO 5 GRADO MUJER;REPROBADO 6 GRADO HOMBRE;REPROBADO 6 GRADO MUJER;DESERTORES 1 GRADO HOMBRE;DESERTORES 1 GRADO MUJER;DESERTORES 2 GRADO HOMBRE;DESERTORES 2 GRADO MUJER;DESERTORES 3 GRADO HOMBRE;DESERTORES 3 GRADO MUJER;DESERTORES 4 GRADO HOMBRE;DESERTORES 4 GRADO MUJER;DESERTORES 5 GRADO HOMBRE;DESERTORES 5 GRADO MUJER;DESERTORES 6 GRADO HOMBRE;DESERTORES 6 GRADO MUJER;DOCENTES;AULAS
175;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;PUNTA LAUREL;CAYO DE AGUA;INDÍGENA;PRIMARIA UNIGRADO;OFICIAL;15;13;13;6;11;12;9;9;14;7;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5
176;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;PUNTA LAUREL;ISLA TIGRE;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;26;6;9;20;12;8;11;13;8;12;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4
177;BOCAS DEL TORO;BOCAS DEL TORO;BOCAS DEL TORO;PUNTA LAUREL;ISLA POPA N°1;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;4;6;4;7;6;6;3;7;5;8;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
208;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;CHANGUINOLA;ESCUELA BILINGÜE FINCA 32;URBANA;PRIMARIA UNIGRADO;OFICIAL;62;96;90;87;93;72;62;53;72;61;66;58;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;3;6;2;1;2;4;2;1;33;25
231;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;CHANGUINOLA;C.E.B.G. BILINGÜE FINCA 62;URBANA;PRIMARIA UNIGRADO;OFICIAL;53;25;54;48;43;40;35;38;48;35;30;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;1;0;23;20
232;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;QUEBRADA GUABO;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;7;9;5;9;11;8;7;6;7;4;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7
233;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;ALTO PITA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;0;0;2;1;1;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
234;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;QUEBRADA PUERCO;RURAL;PRIMARIA MULTIGRADO;OFICIAL;4;6;8;3;3;3;4;3;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
235;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;FINCA 15;URBANA;PRIMARIA UNIGRADO;OFICIAL;53;39;66;52;70;62;51;45;44;46;45;52;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;0;0;1;0;0;0;24;14
236;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;CHANGUINOLA;FINCA 66;URBANA;PRIMARIA UNIGRADO;OFICIAL;52;30;38;53;35;39;42;29;35;28;39;44;0;0;0;0;0;0;0;0;0;0;0;0;6;5;10;1;2;6;0;1;2;1;0;2;18;4
