FID,the_geom,Educ_Code,Educ_Name,Adm2_Name,Adm3_Name,Adm4_Name,Adm4_Code,Educ_Type,Latitude,Longitude,Accuracy,ADM4_COD_1,ADM3_NAM_1,ADM2_NAM_1,NUMBER
sle_educ_pt_steward_schools.16719,POINT (-12.218753234999951 7.605011200000035),SLE_Prim_0069,U.B.C. Primary School,Bonthe,Jong,Landi - Ngere,SLE03020506,Primary School,7.6050112,-12.21875324,Needs Validation - STEWARD Project,SLE03020506,Jong,Bonthe,69
sle_educ_pt_steward_schools.16720,POINT (-12.207331250999971 7.641765581000072),SLE_Prim_0070,U.B.C. Primary School,Bonthe,Jong,Landi - Ngere,SLE03020506,Primary School,7.64176558,-12.20733125,Needs Validation - STEWARD Project,SLE03020506,Jong,Bonthe,70
sle_educ_pt_steward_schools.16721,POINT (-12.25955640899997 7.542310395000072),SLE_Prim_0071,United Methodist Primary School Bo-Njeibui,Bonthe,Jong,Tucker - Nyambe,SLE03020508,Primary School,7.5423104,-12.25955641,Needs Validation - STEWARD Project,SLE03020508,Jong,Bonthe,71
sle_educ_pt_steward_schools.16722,POINT (-11.972538137999948 7.528146135000043),SLE_Prim_0072,U.B.C. Primary School,Bonthe,Kpanda Kemo,Bewoni,SLE03020602,Primary School,7.52814614,-11.97253814,Needs Validation - STEWARD Project,SLE03020602,Kpanda Kemo,Bonthe,72
sle_educ_pt_steward_schools.16723,POINT (-12.064423759999954 7.668055114000026),SLE_Prim_0073,R.C. Primary School,Bonthe,Kpanda Kemo,Gbonge,SLE03020603,Primary School,7.66805511,-12.06442376,Needs Validation - STEWARD Project,SLE03020603,Kpanda Kemo,Bonthe,73
sle_educ_pt_steward_schools.16724,POINT (-12.064423759999954 7.668055114000026),SLE_Prim_0074,R.C. Primary School,Bonthe,Kpanda Kemo,Gbonge,SLE03020603,Primary School,7.66805511,-12.06442376,Needs Validation - STEWARD Project,SLE03020603,Kpanda Kemo,Bonthe,74
sle_educ_pt_steward_schools.16725,POINT (-12.01463605999993 7.531889208000052),SLE_Prim_0075,U.B.C. Primary School,Bonthe,Kpanda Kemo,Senjehun,SLE03020604,Primary School,7.53188921,-12.01463606,Needs Validation - STEWARD Project,SLE03020604,Kpanda Kemo,Bonthe,75
sle_educ_pt_steward_schools.16726,POINT (-12.035937457999978 7.574258840000027),SLE_Prim_0076,U.B.C. Primary School,Bonthe,Kpanda Kemo,Taokunor,SLE03020606,Primary School,7.57425884,-12.03593746,Needs Validation - STEWARD Project,SLE03020606,Kpanda Kemo,Bonthe,76
sle_educ_pt_steward_schools.16727,POINT (-11.970299815999965 7.320298689000026),SLE_Prim_0077,Saint Patrick Primary School -  Blama,Bonthe,Kwamebai Krim,Kwako Lanteh,SLE03020702,Primary School,7.32029869,-11.97029982,Needs Validation - STEWARD Project,SLE03020702,Kwamebai Krim,Bonthe,77
sle_educ_pt_steward_schools.16728,POINT (-11.981582070999934 7.207688434000033),SLE_Prim_0078,"United Britheren Church Primary School, Kpanguma",Bonthe,Kwamebai Krim,Massa Settie,SLE03020703,Primary School,7.20768843,-11.98158207,Needs Validation - STEWARD Project,SLE03020703,Kwamebai Krim,Bonthe,78
sle_educ_pt_steward_schools.16729,POINT (-12.016335632999926 7.24652973700006),SLE_Prim_0079,"Unted Bretheren Church Pruimay School, Tei",Bonthe,Kwamebai Krim,Tun - Tun Sullay,SLE03020706,Primary School,7.24652974,-12.01633563,Needs Validation - STEWARD Project,SLE03020706,Kwamebai Krim,Bonthe,79
sle_educ_pt_steward_schools.16730,POINT (-11.963772348999953 7.266137362000052),SLE_Prim_0080,United Bretheren Church Pri. School - Benduma,Bonthe,Kwamebai Krim,Yike Karbay,SLE03020707,Primary School,7.26613736,-11.96377235,Needs Validation - STEWARD Project,SLE03020707,Kwamebai Krim,Bonthe,80
sle_educ_pt_steward_schools.16731,POINT (-12.228860650999934 7.448039430000051),SLE_Prim_0081,Saint Joseph's Primary School-Baoma,Bonthe,Nongoba Bullom,Baoma,SLE03020801,Primary School,7.44803943,-12.22886065,Needs Validation - STEWARD Project,SLE03020801,Nongoba Bullom,Bonthe,81
sle_educ_pt_steward_schools.16732,POINT (-12.315844432999938 7.414382901000067),SLE_Scho_0082,Mesima,Bonthe,Nongoba Bullom,Bullom,SLE03020803,School,7.4143829,-12.31584443,Needs Validation - STEWARD Project,SLE03020803,Nongoba Bullom,Bonthe,82
sle_educ_pt_steward_schools.16733,POINT (-12.28125414599998 7.386604143000056),SLE_Prim_0083,Children of Redemption Ministry Primary,Bonthe,Nongoba Bullom,Bullom,SLE03020803,Primary School,7.38660414,-12.28125415,Needs Validation - STEWARD Project,SLE03020803,Nongoba Bullom,Bonthe,83
